Lambda	        A	     B	     C	    D	     E	      F	      G	     H	      I	      J
4281.81453	0.39729	0.87492	1.3942	0.87324	2.32222	0.4868	1.85408	3.25794	1.62309	0.24265
4279.88579	0.39943	0.87698	1.39508	0.87531	2.32992	0.48838	1.85386	3.2599	1.62203	0.24511
4277.95704	0.39799	0.87359	1.3859	0.87379	2.3253	0.48763	1.84677	3.25242	1.61602	0.24655
4276.0283	0.39429	0.86891	1.37811	0.87493	2.32062	0.49076	1.8437	3.25024	1.61239	0.24629
4274.09955	0.39248	0.86331	1.37895	0.87664	2.32117	0.49259	1.84399	3.25066	1.60994	0.24299
4272.17081	0.39276	0.85713	1.37964	0.87325	2.31799	0.48804	1.83795	3.24377	1.60576	0.24185
4270.24206	0.39602	0.85371	1.3763	0.8691	2.31335	0.48284	1.83073	3.2385	1.605	0.24467
4268.31331	0.40181	0.85668	1.37692	0.86872	2.31627	0.48425	1.83212	3.2446	1.61224	0.24667
4266.38457	0.40578	0.86479	1.38402	0.86962	2.32566	0.49268	1.83909	3.25598	1.62457	0.24545
4264.45582	0.40525	0.86898	1.38724	0.86818	2.32676	0.49876	1.83992	3.25478	1.62887	0.2413
4262.52708	0.40328	0.86783	1.38496	0.86584	2.31802	0.49722	1.83448	3.24579	1.62228	0.23659
4260.59833	0.40297	0.86913	1.38621	0.86497	2.31792	0.49497	1.83358	3.25035	1.61865	0.23618
4258.66959	0.40379	0.87244	1.38923	0.86318	2.32957	0.4957	1.83969	3.26406	1.62108	0.23965
4256.74084	0.40556	0.87314	1.3888	0.85978	2.3412	0.49623	1.84953	3.2737	1.62352	0.24272
4254.8121	0.4083	0.87118	1.38707	0.85843	2.3443	0.49436	1.85785	3.27443	1.6259	0.24362
4252.88335	0.40866	0.8684	1.38893	0.86155	2.33855	0.49006	1.86227	3.2685	1.62933	0.2424
4250.95461	0.40359	0.86706	1.39646	0.86861	2.33651	0.48517	1.86808	3.26877	1.63222	0.24146
4249.02586	0.39862	0.86932	1.40505	0.87528	2.3453	0.48298	1.87492	3.27932	1.63319	0.2421
4247.09712	0.40116	0.87387	1.40844	0.87846	2.35328	0.48495	1.88055	3.29102	1.63492	0.24275
4245.16837	0.40785	0.87628	1.40845	0.88096	2.35387	0.48943	1.88813	3.29967	1.63928	0.24293
4243.23963	0.41256	0.8776	1.41105	0.88332	2.35421	0.49369	1.8939	3.30638	1.64207	0.24498
4241.31088	0.41374	0.88154	1.41385	0.88297	2.35385	0.49421	1.88954	3.30626	1.64123	0.24894
4239.38214	0.41109	0.88628	1.4156	0.88208	2.353	0.49045	1.87893	3.30305	1.64263	0.24959
4237.45339	0.40819	0.89117	1.42163	0.88473	2.36202	0.48905	1.87846	3.31494	1.65227	0.24663
4235.52465	0.40903	0.89656	1.42747	0.88966	2.37462	0.49345	1.89064	3.33563	1.66406	0.24579
4233.5959	0.41214	0.89531	1.42503	0.89132	2.37198	0.49624	1.89545	3.335	1.66434	0.24663
4231.66715	0.41426	0.88561	1.41801	0.88787	2.35792	0.49465	1.88804	3.31468	1.65496	0.24438
4229.73841	0.41544	0.88159	1.41607	0.8835	2.35388	0.49586	1.88738	3.30664	1.65139	0.24092
4227.80966	0.41772	0.88834	1.41932	0.88034	2.36334	0.49827	1.89374	3.3142	1.65465	0.2397
4225.88092	0.41917	0.89396	1.42071	0.87793	2.37224	0.49657	1.89266	3.31682	1.65492	0.23929
4223.95217	0.41689	0.89676	1.42444	0.87976	2.38186	0.49813	1.895	3.32404	1.65618	0.23981
4222.02343	0.41297	0.90137	1.43443	0.88667	2.39999	0.506	1.91119	3.34928	1.66578	0.2431
4220.09468	0.41259	0.90234	1.44103	0.89139	2.41273	0.51068	1.92023	3.36691	1.67516	0.24885
4218.16594	0.4187	0.89767	1.43983	0.88994	2.40881	0.50882	1.91059	3.35807	1.67455	0.25359
4216.23719	0.42512	0.89638	1.43783	0.88714	2.40288	0.50504	1.90179	3.3438	1.6693	0.25224
4214.30845	0.42408	0.90196	1.43962	0.88581	2.40459	0.50341	1.90595	3.34427	1.66683	0.24616
4212.3797	0.41884	0.90587	1.44228	0.88435	2.40689	0.50698	1.91444	3.35495	1.66752	0.24248
4210.45096	0.41689	0.90559	1.4418	0.88507	2.40798	0.51177	1.91895	3.36392	1.67137	0.24235
4208.52221	0.41881	0.90708	1.43984	0.8889	2.40875	0.51011	1.91903	3.36475	1.67737	0.24169
4206.59347	0.42112	0.91023	1.44116	0.89184	2.40857	0.50573	1.92106	3.36186	1.68405	0.2409
4204.66472	0.42192	0.91049	1.44619	0.89219	2.40841	0.50619	1.92839	3.36453	1.68926	0.2416
4202.73598	0.4212	0.90697	1.44877	0.88928	2.40655	0.50784	1.93126	3.36853	1.68703	0.2427
