Lambda	        A	     B	     C	    D	     E	      F	      G	     H	      I	      J
2439.86279	0.64971	1.11072	1.82815	0.98559	3.82677	0.74467	3.07984	5.0096	2.21849	0.22835
2437.93404	0.65133	1.10951	1.82591	0.98273	3.8189	0.74145	3.07229	4.99988	2.21613	0.23234
2436.00529	0.64995	1.11195	1.82911	0.9819	3.82229	0.74422	3.0738	5.00001	2.21823	0.23611
2434.07655	0.64716	1.11169	1.8265	0.9791	3.81858	0.74167	3.07077	4.99093	2.21523	0.23531
2432.1478	0.64173	1.10871	1.81615	0.97602	3.80363	0.73321	3.06095	4.97311	2.20596	0.23295
2430.21906	0.63384	1.10626	1.80653	0.97632	3.79283	0.73098	3.05441	4.96545	2.19928	0.23348
2428.29031	0.62884	1.10431	1.80458	0.97804	3.7956	0.73777	3.05596	4.97172	2.19804	0.2346
2426.36157	0.62944	1.10249	1.81171	0.98012	3.81028	0.74786	3.06597	4.98713	2.2015	0.23276
2424.43282	0.63294	1.1011	1.81929	0.98309	3.82645	0.75566	3.07872	5.00494	2.20933	0.23142
2422.50408	0.63609	1.09906	1.81814	0.98337	3.8305	0.75535	3.08237	5.00918	2.2142	0.23428
2420.57533	0.6379	1.09899	1.81217	0.97907	3.82442	0.74895	3.07777	4.99963	2.21369	0.23709
2418.64659	0.63988	1.10204	1.80688	0.97533	3.82273	0.74455	3.07484	4.99442	2.21667	0.23606
2416.71784	0.64281	1.10179	1.8028	0.97575	3.82549	0.74189	3.07345	4.99494	2.22144	0.23339
2414.7891	0.64583	1.09901	1.80333	0.9766	3.82495	0.7401	3.07181	4.99408	2.22132	0.23286
2412.86035	0.64728	1.09962	1.80752	0.97328	3.82224	0.74136	3.07134	4.99312	2.22015	0.23477
2410.93161	0.64591	1.1017	1.8103	0.9688	3.82396	0.74304	3.0735	4.99838	2.22182	0.23582
2409.00286	0.64209	1.10101	1.81234	0.96887	3.83184	0.74557	3.07852	5.01012	2.22336	0.23542
2407.07412	0.6375	1.09632	1.81214	0.97117	3.83412	0.75033	3.07845	5.01192	2.21961	0.23638
2405.14537	0.63623	1.09227	1.80783	0.97342	3.82859	0.75163	3.07236	5.00209	2.21483	0.23864
2403.21662	0.6406	1.09547	1.80731	0.97888	3.83459	0.74825	3.07444	5.00575	2.22018	0.2393
2401.28788	0.64702	1.10367	1.81652	0.98511	3.85958	0.7469	3.09011	5.03313	2.23511	0.23791
2399.35913	0.65117	1.10769	1.82657	0.98684	3.88321	0.74773	3.10604	5.05991	2.24514	0.2358
2397.43039	0.65193	1.1051	1.82578	0.98412	3.88596	0.74514	3.10798	5.0602	2.24082	0.2332
2395.50164	0.65074	1.10281	1.8187	0.97903	3.87627	0.74186	3.10133	5.04498	2.2318	0.23165
2393.5729	0.64901	1.10279	1.81538	0.97344	3.86985	0.74271	3.09777	5.03559	2.22992	0.23164
2391.64415	0.64754	1.10253	1.81733	0.97052	3.87484	0.74615	3.09976	5.041	2.2356	0.23141
2389.71541	0.64645	1.10335	1.82187	0.97238	3.89022	0.74825	3.10675	5.06019	2.24343	0.23104
2387.78666	0.64286	1.10265	1.82164	0.97343	3.89233	0.7467	3.10556	5.06248	2.24137	0.22946
2385.85792	0.63618	1.09812	1.81511	0.96833	3.87513	0.74593	3.0859	5.03535	2.22847	0.22499
2383.92917	0.62958	1.09205	1.80856	0.95968	3.85902	0.74723	3.05474	5.00057	2.21519	0.22058
2382.00043	0.62281	1.07996	1.79723	0.94972	3.83493	0.74317	3.00736	4.94707	2.195	0.21887
2380.07168	0.6157	1.05963	1.77606	0.93915	3.78825	0.73393	2.9408	4.86606	2.16247	0.21873
2378.14294	0.60955	1.04208	1.75498	0.92933	3.73948	0.72453	2.87435	4.79172	2.13127	0.21897
2376.21419	0.6011	1.03694	1.74675	0.92328	3.71466	0.7168	2.82253	4.74957	2.1117	0.21813
2374.28545	0.58806	1.03809	1.75	0.92084	3.70966	0.71324	2.77908	4.72567	2.09686	0.2145
2372.3567	0.57352	1.03049	1.74708	0.91205	3.69373	0.7093	2.72737	4.68712	2.07152	0.21073
2370.42795	0.56029	1.01754	1.73786	0.89434	3.66519	0.70373	2.66883	4.64061	2.04225	0.21072
2368.49921	0.55117	1.0137	1.74005	0.87806	3.6496	0.70393	2.62028	4.61273	2.02547	0.21125
2366.57046	0.54137	1.01087	1.74188	0.86765	3.63086	0.70191	2.57202	4.57734	2.00807	0.2069
2364.64172	0.52069	1.00262	1.7312	0.86162	3.59908	0.69433	2.51865	4.52804	1.98691	0.19831
2362.71297	0.49892	0.99579	1.72206	0.85669	3.58331	0.69131	2.48638	4.50025	1.97843	0.18576
2360.78423	0.49227	0.98619	1.7172	0.85144	3.57931	0.69023	2.47679	4.48792	1.97252	0.17138
2358.85548	0.49893	0.9792	1.7183	0.85563	3.57865	0.69096	2.48316	4.49432	1.96861	0.16619
2356.92674	0.5116	0.9848	1.72482	0.86768	3.59357	0.69538	2.51809	4.54142	1.98487	0.17308
2354.99799	0.52547	0.99284	1.72705	0.87113	3.6209	0.69804	2.57499	4.61167	2.01293	0.18278
2353.06925	0.53993	0.99884	1.73281	0.87408	3.66192	0.70053	2.64885	4.69379	2.04209	0.19182
2351.1405	0.55639	1.00992	1.74707	0.88973	3.71295	0.70724	2.73323	4.77339	2.07444	0.19915
2349.21176	0.56683	1.02072	1.75622	0.90634	3.7452	0.71363	2.78519	4.8007	2.0969	0.20216
2347.28301	0.56279	1.02349	1.75729	0.91032	3.74547	0.71339	2.77701	4.76452	2.09664	0.20441
2345.35427	0.54782	1.02053	1.75845	0.90173	3.72624	0.70589	2.7255	4.70891	2.07945	0.20774
2343.42552	0.53656	1.01705	1.75642	0.894	3.70091	0.69453	2.67253	4.67207	2.06117	0.20543
2341.49678	0.53916	1.01556	1.75253	0.89628	3.69312	0.68928	2.6543	4.66827	2.05586	0.20173
2339.56803	0.5491	1.01768	1.75902	0.90224	3.72081	0.69816	2.67425	4.70339	2.06652	0.2076
2337.63929	0.55418	1.01949	1.76555	0.9028	3.74865	0.71049	2.70213	4.7413	2.08031	0.21316
2335.71054	0.55246	1.01521	1.76456	0.89889	3.74765	0.71296	2.71343	4.75224	2.0888	0.20755
2333.78179	0.54899	1.00951	1.76385	0.89735	3.73701	0.70776	2.70956	4.74824	2.09161	0.19576
2331.85305	0.54909	1.01049	1.76168	0.89706	3.73926	0.70321	2.7073	4.75134	2.0886	0.18382
2329.9243	0.55422	1.01448	1.75633	0.89713	3.75358	0.70145	2.72101	4.77202	2.08698	0.17969
2327.99556	0.56164	1.019	1.75752	0.89987	3.77445	0.70062	2.74832	4.80422	2.09443	0.18893
2326.06681	0.56996	1.02701	1.76658	0.90099	3.79733	0.70352	2.77468	4.8338	2.10645	0.20197
2324.13807	0.57427	1.0298	1.77004	0.89712	3.7996	0.70902	2.78182	4.83921	2.11041	0.20708
2322.20932	0.57608	1.02507	1.77094	0.89779	3.79843	0.71222	2.79062	4.84776	2.11424	0.2059
2320.28058	0.58435	1.02761	1.781	0.90965	3.83623	0.7147	2.83755	4.90254	2.13621	0.20654
2318.35183	0.59521	1.04156	1.79121	0.92086	3.88804	0.7183	2.90018	4.96628	2.1661	0.2106
2316.42309	0.60012	1.05468	1.79434	0.92419	3.90982	0.72351	2.93751	4.99098	2.18515	0.21458
2314.49434	0.5997	1.05779	1.79432	0.92507	3.90252	0.73011	2.94716	4.98565	2.19013	0.21582
2312.5656	0.59936	1.05447	1.79377	0.92591	3.89202	0.73452	2.95092	4.98265	2.18952	0.21435
2310.63685	0.60533	1.05436	1.79942	0.92919	3.90124	0.73664	2.97011	5.0068	2.19947	0.21361
2308.70811	0.61729	1.05897	1.8105	0.93552	3.92431	0.73806	3.00466	5.04933	2.22098	0.21684
2306.77936	0.62494	1.06378	1.81447	0.94124	3.94301	0.73773	3.04067	5.08526	2.23978	0.22131
2304.85062	0.62434	1.06962	1.81434	0.9467	3.96199	0.73822	3.07473	5.11576	2.25378	0.22204
2302.92187	0.6245	1.07418	1.81971	0.95008	3.98219	0.7418	3.1003	5.14048	2.26301	0.21989
2300.99312	0.63014	1.07144	1.82153	0.94756	3.98659	0.74515	3.10442	5.14095	2.26025	0.21848
2299.06438	0.63744	1.06739	1.8154	0.94536	3.98316	0.74638	3.10029	5.13181	2.25089	0.2188
2297.13563	0.64298	1.07008	1.81206	0.94821	3.99105	0.74634	3.10875	5.1406	2.24824	0.21993
2295.20689	0.64485	1.07676	1.81297	0.94988	4.00371	0.74541	3.12488	5.15724	2.25548	0.21914
2293.27814	0.6446	1.08229	1.81513	0.94938	4.01485	0.74633	3.14095	5.17106	2.26806	0.21608
2291.3494	0.6465	1.08442	1.82119	0.95358	4.02868	0.75003	3.15847	5.18911	2.28004	0.21636
2289.42065	0.65023	1.08477	1.82822	0.96072	4.04116	0.75293	3.17247	5.20395	2.28571	0.22174
2287.49191	0.65171	1.08658	1.83095	0.96112	4.04509	0.75361	3.17666	5.20584	2.28481	0.22535
2285.56316	0.64868	1.08586	1.82779	0.95476	4.03587	0.75038	3.17011	5.1957	2.27992	0.22433
2283.63442	0.64257	1.07931	1.82064	0.95152	4.02128	0.74153	3.1597	5.18009	2.27396	0.2236
2281.70567	0.63868	1.07562	1.81694	0.9541	4.02287	0.73416	3.16145	5.17959	2.27379	0.22474
2279.77693	0.6402	1.07921	1.81856	0.95447	4.03711	0.73667	3.17435	5.19698	2.27818	0.22454
2277.84818	0.64362	1.08181	1.81853	0.94792	4.0385	0.74491	3.17825	5.20564	2.27893	0.22163
2275.91944	0.64436	1.08043	1.81541	0.94088	4.02999	0.74952	3.17142	5.19909	2.27866	0.21793
2273.99069	0.64215	1.07962	1.81454	0.93912	4.02737	0.7498	3.16645	5.19146	2.28215	0.21634
2272.06195	0.63879	1.07856	1.81549	0.93819	4.02453	0.74782	3.16354	5.18362	2.28251	0.2175
2270.1332	0.63693	1.07437	1.81335	0.93578	4.01937	0.74559	3.16157	5.17613	2.27652	0.21766
2268.20445	0.64047	1.07032	1.81002	0.93878	4.02223	0.74704	3.16725	5.18076	2.27434	0.21524
2266.27571	0.64693	1.06989	1.80925	0.94583	4.02979	0.74994	3.17825	5.19372	2.27851	0.21537
2264.34696	0.64956	1.07168	1.81146	0.94595	4.03662	0.75012	3.18436	5.20218	2.28288	0.22034
2262.41822	0.65021	1.0734	1.81787	0.94144	4.04718	0.75019	3.18725	5.21156	2.28869	0.225
2260.48947	0.65246	1.07467	1.82663	0.94314	4.0596	0.75289	3.19505	5.22688	2.29724	0.22496
2258.56073	0.65225	1.07539	1.83068	0.94776	4.06679	0.75471	3.20259	5.23757	2.30279	0.221
2256.63198	0.64659	1.0768	1.82767	0.94749	4.06633	0.75237	3.20069	5.23621	2.30153	0.21654
2254.70324	0.64205	1.08216	1.82666	0.94773	4.06645	0.74982	3.19825	5.23561	2.30018	0.21444
2252.77449	0.64541	1.08718	1.8308	0.95285	4.07181	0.75015	3.20416	5.24425	2.303	0.21465
2250.84575	0.65051	1.08426	1.82931	0.95532	4.06885	0.74983	3.20545	5.24399	2.30153	0.21512
2248.917	0.65129	1.07835	1.82335	0.95258	4.05826	0.74791	3.19703	5.23138	2.29472	0.21583
2246.98826	0.6515	1.0779	1.82369	0.95049	4.05958	0.74804	3.19543	5.23044	2.29334	0.21634
2245.05951	0.65259	1.08325	1.82744	0.94949	4.07088	0.75035	3.2039	5.24507	2.30038	0.21601
2243.13077	0.65418	1.09037	1.82885	0.94689	4.07739	0.75198	3.21074	5.25649	2.3093	0.21788
2241.20202	0.65736	1.09495	1.82981	0.94479	4.07795	0.75175	3.21312	5.25911	2.31499	0.22061
2239.27328	0.66128	1.09562	1.83031	0.94474	4.07742	0.74947	3.21147	5.25876	2.31738	0.22013
2237.34453	0.6627	1.09199	1.82811	0.9436	4.07482	0.7452	3.2047	5.25288	2.31669	0.21911
2235.41578	0.65712	1.08529	1.82543	0.9411	4.0671	0.74102	3.19831	5.2392	2.31189	0.22014
2233.48704	0.6465	1.08101	1.82638	0.94137	4.06098	0.74154	3.19998	5.22909	2.30743	0.22286
2231.55829	0.63945	1.08196	1.83132	0.94454	4.0658	0.74778	3.20832	5.23356	2.30847	0.2264
2229.62955	0.64102	1.08696	1.83809	0.94798	4.07887	0.75326	3.21561	5.24912	2.3141	0.22744
2227.7008	0.64847	1.0936	1.84367	0.95124	4.09114	0.75275	3.21877	5.26548	2.32153	0.2256
2225.77206	0.65514	1.0974	1.84613	0.95371	4.09919	0.74949	3.22126	5.278	2.32571	0.22461
2223.84331	0.65802	1.09643	1.8459	0.95474	4.10484	0.74753	3.22612	5.28662	2.32431	0.22428
2221.91457	0.65663	1.0927	1.84271	0.95473	4.10181	0.74559	3.22645	5.28497	2.31968	0.22179
2219.98582	0.65244	1.08983	1.83963	0.95395	4.08917	0.74465	3.21975	5.27595	2.31621	0.2181
2218.05708	0.6506	1.09046	1.84	0.95268	4.08079	0.7467	3.21536	5.27315	2.31602	0.21646
2216.12833	0.65099	1.09384	1.83922	0.95027	4.0805	0.74858	3.21426	5.2735	2.31425	0.21785
2214.19959	0.65204	1.09935	1.83699	0.94589	4.08428	0.74797	3.21478	5.27245	2.3134	0.22114
2212.27084	0.65674	1.10401	1.84004	0.94254	4.08876	0.74701	3.21802	5.27411	2.31727	0.22425
2210.3421	0.66176	1.10391	1.8461	0.94432	4.09126	0.74935	3.22095	5.27771	2.31958	0.22433
2208.41335	0.66025	1.10278	1.84646	0.94674	4.0907	0.75281	3.21996	5.2769	2.31765	0.22184
2206.48461	0.65412	1.10364	1.84038	0.94424	4.08516	0.75054	3.21363	5.27008	2.3138	0.22097
2204.55586	0.64976	1.10284	1.8345	0.94201	4.08045	0.74483	3.20869	5.26747	2.31207	0.22254
2202.62712	0.64924	1.09974	1.83181	0.94346	4.07734	0.74247	3.20841	5.26721	2.31284	0.22367
2200.69837	0.65104	1.09833	1.8303	0.94506	4.07286	0.74232	3.20665	5.26229	2.31291	0.22539
2198.76962	0.65334	1.09866	1.82884	0.9457	4.07304	0.74165	3.2026	5.25736	2.31077	0.22788
2196.84088	0.65608	1.0985	1.82854	0.94574	4.07435	0.74261	3.19991	5.25112	2.30519	0.22402
2194.91213	0.65838	1.10155	1.83139	0.94589	4.07339	0.74609	3.20303	5.24872	2.30226	0.21563
2192.98339	0.65804	1.11015	1.83779	0.94708	4.07885	0.74875	3.21217	5.26064	2.30894	0.21437
2191.05464	0.65706	1.11666	1.8441	0.94758	4.08685	0.74806	3.21788	5.27394	2.31767	0.21794
2189.1259	0.65675	1.11385	1.84447	0.94566	4.0821	0.74555	3.21211	5.267	2.31635	0.21763
2187.19715	0.65623	1.10884	1.84311	0.94367	4.07492	0.7454	3.20549	5.25382	2.31122	0.21701
2185.26841	0.65782	1.11208	1.84992	0.94438	4.08793	0.74956	3.2131	5.26408	2.31643	0.21923
2183.33966	0.66238	1.11951	1.85971	0.94664	4.1105	0.7556	3.22728	5.28548	2.32544	0.22008
2181.41092	0.66798	1.12388	1.864	0.95002	4.12405	0.75928	3.23775	5.29307	2.32674	0.21819
2179.48217	0.6718	1.12642	1.8659	0.95519	4.12999	0.75872	3.2462	5.28767	2.32348	0.21578
2177.55343	0.67274	1.12963	1.86965	0.96034	4.13579	0.75779	3.253	5.27745	2.31913	0.21468
2175.62468	0.67348	1.13458	1.87728	0.96439	4.1512	0.75987	3.26193	5.26743	2.30686	0.21346
2173.69594	0.6765	1.14379	1.89335	0.97111	4.18908	0.76471	3.28317	5.25249	2.26622	0.20911
2171.76719	0.68354	1.16153	1.92324	0.98496	4.25843	0.77491	3.32512	5.23969	2.19655	0.20298
2169.83845	0.69023	1.17807	1.94976	0.99607	4.31395	0.78531	3.36235	5.25549	2.16054	0.19958
2167.9097	0.68805	1.17451	1.94295	0.98978	4.28636	0.78232	3.35048	5.29187	2.20613	0.20262
2165.98095	0.68249	1.15813	1.91475	0.97533	4.21161	0.76928	3.30671	5.31633	2.278	0.20913
2164.05221	0.68109	1.1449	1.89339	0.96511	4.16014	0.75825	3.27242	5.31862	2.3141	0.21238
2162.12346	0.67837	1.13581	1.88018	0.95628	4.12844	0.75187	3.24854	5.29359	2.30931	0.21216
2160.19472	0.67329	1.13196	1.87173	0.95116	4.10616	0.75004	3.23151	5.25726	2.28362	0.21154
2158.26597	0.67228	1.13518	1.8718	0.95339	4.11034	0.75155	3.23184	5.25848	2.27478	0.21151
2156.33723	0.67347	1.14184	1.87728	0.9552	4.13021	0.75158	3.24377	5.30127	2.29988	0.21253
2154.40848	0.67107	1.14688	1.88033	0.95316	4.13533	0.74851	3.24819	5.33377	2.3283	0.21362
2152.47974	0.6675	1.14787	1.88096	0.95276	4.12712	0.74752	3.24498	5.33962	2.33679	0.21387
2150.55099	0.66761	1.14562	1.88035	0.95425	4.11753	0.75112	3.24089	5.3358	2.33419	0.21497
2148.62225	0.66985	1.14251	1.8753	0.95454	4.10255	0.75451	3.23073	5.32309	2.32959	0.21759
2146.6935	0.67083	1.14082	1.86794	0.95394	4.08599	0.75364	3.2175	5.30906	2.32561	0.21914
2144.76476	0.67102	1.14109	1.86412	0.95217	4.07734	0.74963	3.21108	5.30848	2.32481	0.21886
2142.83601	0.6727	1.14449	1.86713	0.95079	4.07851	0.74809	3.21384	5.32191	2.32862	0.2185
2140.90727	0.67557	1.15046	1.87512	0.95452	4.08535	0.75236	3.22231	5.34231	2.33715	0.21926
2138.97852	0.6769	1.15509	1.88055	0.95989	4.08695	0.75809	3.22866	5.35596	2.34464	0.22203
2137.04978	0.67715	1.15802	1.8804	0.95941	4.08275	0.76103	3.2321	5.35857	2.34598	0.22641
2135.12103	0.67738	1.16122	1.87904	0.95511	4.08151	0.759	3.23614	5.3583	2.34348	0.23006
2133.19228	0.67453	1.16195	1.87735	0.95168	4.07849	0.75118	3.23323	5.35053	2.33811	0.22922
2131.26354	0.67001	1.15602	1.87394	0.95006	4.06998	0.74477	3.22208	5.33486	2.32993	0.22322
2129.33479	0.66996	1.14649	1.87005	0.94884	4.06117	0.74588	3.2123	5.32328	2.3216	0.21808
2127.40605	0.67427	1.14167	1.86722	0.94673	4.0552	0.74933	3.20891	5.31995	2.31782	0.21841
2125.4773	0.67815	1.1445	1.86876	0.94651	4.05531	0.74903	3.21245	5.32438	2.32177	0.22134
2123.54856	0.67769	1.14946	1.87381	0.94804	4.05693	0.74592	3.21719	5.332	2.32792	0.22363
2121.61981	0.67484	1.15257	1.87892	0.94916	4.05859	0.74574	3.22371	5.34505	2.33239	0.22727
2119.69107	0.67652	1.15774	1.88796	0.95339	4.07023	0.75113	3.23862	5.37254	2.34101	0.23182
2117.76232	0.68135	1.16555	1.89769	0.96035	4.08465	0.75594	3.25152	5.39755	2.35135	0.23359
2115.83358	0.68257	1.17036	1.89915	0.96369	4.08737	0.75615	3.25204	5.39987	2.35097	0.23365
2113.90483	0.681	1.17127	1.89798	0.96214	4.08392	0.75751	3.24814	5.39619	2.34327	0.23324
2111.97609	0.68017	1.17011	1.89938	0.95934	4.07947	0.76184	3.24437	5.40121	2.34092	0.23075
2110.04734	0.67943	1.16675	1.89617	0.95677	4.06999	0.76255	3.23706	5.40157	2.34081	0.22799
2108.1186	0.67772	1.16456	1.88834	0.95585	4.06244	0.75927	3.2334	5.39641	2.33792	0.22707
2106.18985	0.67698	1.168	1.88497	0.95889	4.06479	0.75701	3.23833	5.39897	2.33669	0.22655
2104.26111	0.67905	1.17465	1.88832	0.96258	4.07062	0.75588	3.24133	5.40525	2.33867	0.22531
2102.33236	0.68365	1.18044	1.89477	0.96395	4.07653	0.75506	3.24138	5.41002	2.3429	0.22531
2100.40362	0.68838	1.18394	1.90048	0.96472	4.08352	0.7561	3.24542	5.41728	2.34688	0.22889
2098.47487	0.68852	1.18381	1.90338	0.96456	4.08592	0.75981	3.25042	5.42329	2.34677	0.23291
2096.54612	0.68315	1.18139	1.90477	0.9628	4.08305	0.76438	3.25166	5.42335	2.34531	0.23263
2094.61738	0.67742	1.17736	1.90069	0.95982	4.07137	0.76378	3.24346	5.41168	2.34301	0.23006
2092.68863	0.67389	1.17226	1.89015	0.95784	4.0482	0.75525	3.22691	5.38821	2.33681	0.22766
2090.75989	0.67188	1.17311	1.887	0.9604	4.03632	0.74821	3.21953	5.3782	2.33412	0.2247
2088.83114	0.6726	1.18049	1.89489	0.9639	4.04526	0.7499	3.22435	5.38628	2.33705	0.22299
2086.9024	0.67611	1.18451	1.90166	0.96273	4.05218	0.75361	3.22558	5.38589	2.33638	0.22445
2084.97365	0.6815	1.18335	1.90321	0.9607	4.04963	0.75383	3.22346	5.37912	2.33384	0.22776
2083.04491	0.68741	1.18072	1.89994	0.96236	4.04156	0.75188	3.22163	5.37432	2.33205	0.23039
2081.11616	0.68863	1.17706	1.89356	0.96451	4.02564	0.74871	3.21417	5.36117	2.32599	0.22976
2079.18742	0.68427	1.17535	1.89163	0.96483	4.00832	0.74609	3.2042	5.34449	2.32059	0.22606
2077.25867	0.68178	1.1786	1.89543	0.96697	3.99991	0.74678	3.20099	5.34136	2.32333	0.22448
2075.32993	0.68456	1.18587	1.90109	0.9738	4.0067	0.75152	3.20954	5.35766	2.33077	0.22871
2073.40118	0.6877	1.19314	1.90735	0.98064	4.02205	0.75686	3.2221	5.37782	2.33623	0.23302
2071.47244	0.68827	1.19567	1.91143	0.98089	4.02659	0.75938	3.22544	5.38249	2.33743	0.23124
2069.54369	0.68734	1.19332	1.91048	0.97767	4.01349	0.75965	3.21967	5.37156	2.33544	0.22854
2067.61495	0.68566	1.19053	1.90807	0.97911	3.99653	0.75986	3.21474	5.3626	2.33444	0.22998
2065.6862	0.68619	1.19252	1.91047	0.98486	3.99337	0.76145	3.22082	5.37546	2.34037	0.23234
2063.75745	0.68864	1.19685	1.91465	0.98733	3.99927	0.76212	3.23261	5.39601	2.34803	0.2345
2061.82871	0.68814	1.19582	1.9131	0.98605	3.99199	0.7596	3.23208	5.39077	2.34431	0.23673
2059.89996	0.68647	1.19277	1.91034	0.9874	3.97616	0.75815	3.22288	5.37095	2.33347	0.23751
2057.97122	0.68701	1.19431	1.91469	0.99023	3.97325	0.76078	3.22158	5.36985	2.32983	0.23832
2056.04247	0.68812	1.19657	1.92481	0.99023	3.981	0.76248	3.22782	5.38717	2.33319	0.23931
2054.11373	0.68858	1.19594	1.93339	0.98953	3.98587	0.76089	3.23335	5.4017	2.33544	0.23868
2052.18498	0.68758	1.19559	1.9331	0.99011	3.98259	0.7603	3.23428	5.40037	2.33381	0.2376
2050.25624	0.68451	1.19616	1.92335	0.9905	3.97053	0.75964	3.2281	5.38311	2.32885	0.23749
2048.32749	0.68263	1.19595	1.91536	0.99088	3.9601	0.75626	3.21941	5.36836	2.32553	0.23825
2046.39875	0.68306	1.19565	1.91665	0.99073	3.96029	0.75483	3.21446	5.36643	2.32649	0.23885
2044.47	0.68157	1.19528	1.91833	0.98802	3.95949	0.75778	3.20916	5.35894	2.32456	0.2378
2042.54126	0.67992	1.19621	1.91655	0.98592	3.95637	0.7613	3.20604	5.35243	2.32154	0.23624
2040.61251	0.68413	1.1998	1.91991	0.98784	3.96695	0.76287	3.21555	5.37299	2.32773	0.23537
2038.68377	0.69071	1.20251	1.92752	0.99147	3.98537	0.7625	3.23021	5.40082	2.33763	0.23356
2036.75502	0.691	1.20203	1.92922	0.99333	3.98806	0.75971	3.23224	5.40146	2.33777	0.23051
2034.82628	0.68501	1.20081	1.92196	0.99214	3.97008	0.75488	3.21935	5.37947	2.32802	0.2291
2032.89753	0.68159	1.20262	1.9159	0.99143	3.9562	0.75268	3.20753	5.3668	2.32143	0.23144
2030.96878	0.6833	1.20597	1.91982	0.99357	3.96085	0.75601	3.20701	5.37438	2.32278	0.23534
2029.04004	0.68404	1.20568	1.92712	0.99583	3.96824	0.7594	3.21074	5.38093	2.32358	0.23695
2027.11129	0.68322	1.2041	1.92985	0.99728	3.96948	0.75867	3.21254	5.37639	2.32199	0.23681
2025.18255	0.68339	1.20373	1.92637	0.99775	3.9621	0.75674	3.20728	5.36108	2.31797	0.23734
2023.2538	0.68444	1.20128	1.91856	0.9964	3.94741	0.75688	3.1936	5.33881	2.31019	0.23696
2021.32506	0.68614	1.19743	1.91184	0.99253	3.93812	0.75988	3.17929	5.32112	2.30324	0.23498
2019.39631	0.68512	1.1955	1.90806	0.98578	3.93278	0.76161	3.16691	5.30806	2.29799	0.23574
2017.46757	0.68339	1.1998	1.90799	0.98219	3.93163	0.75854	3.16523	5.31017	2.29831	0.2384
2015.53882	0.68813	1.21091	1.91364	0.98795	3.94804	0.75599	3.18554	5.3416	2.30995	0.2369
2013.61008	0.69439	1.22165	1.92408	0.99916	3.98027	0.75918	3.21689	5.38338	2.3271	0.23395
2011.68133	0.69563	1.22877	1.9352	1.00841	4.01217	0.76491	3.24169	5.41346	2.3426	0.23398
2009.75259	0.69504	1.23157	1.93835	1.01214	4.02401	0.76662	3.24834	5.42259	2.34881	0.23315
2007.82384	0.69425	1.22942	1.93414	1.01173	4.01632	0.7644	3.23947	5.41635	2.34395	0.2302
2005.8951	0.69228	1.22593	1.93438	1.00969	4.00832	0.7635	3.23161	5.41177	2.33874	0.22981
2003.96635	0.69023	1.22091	1.93567	1.00695	3.99601	0.7631	3.22323	5.40009	2.33192	0.23182
2002.03761	0.68756	1.2136	1.92975	1.00572	3.97392	0.76118	3.20536	5.37346	2.31766	0.23205
2000.10886	0.6856	1.21035	1.92684	1.00719	3.96446	0.76108	3.19435	5.36265	2.30893	0.23216
1998.18011	0.68848	1.21508	1.93214	1.00978	3.97628	0.76359	3.20161	5.37855	2.31569	0.23605
1996.25137	0.692	1.22053	1.93225	1.01046	3.98373	0.7631	3.2044	5.38126	2.3237	0.2399
1994.32262	0.68993	1.2177	1.92054	1.00679	3.96936	0.75777	3.18663	5.35234	2.31636	0.23722
1992.39388	0.68507	1.21202	1.90764	1.00137	3.94925	0.75426	3.16916	5.32951	2.30308	0.23088
1990.46513	0.68186	1.21342	1.90421	0.99861	3.9419	0.75579	3.16932	5.33409	2.30015	0.22933
1988.53639	0.68173	1.21699	1.90892	0.99852	3.94586	0.75753	3.17513	5.34348	2.30374	0.23224
1986.60764	0.68449	1.21734	1.91722	0.99907	3.95674	0.75817	3.18114	5.35302	2.30882	0.23454
1984.6789	0.68902	1.21851	1.92735	1.00116	3.97285	0.76156	3.19359	5.37323	2.31786	0.23613
1982.75015	0.69381	1.22183	1.93793	1.0079	3.99193	0.7677	3.21038	5.40081	2.32968	0.23692
1980.82141	0.69664	1.22605	1.94707	1.01651	4.01061	0.77266	3.22528	5.42396	2.33879	0.23637
1978.89266	0.69703	1.23147	1.95157	1.02032	4.02109	0.77504	3.23351	5.43351	2.34148	0.23802
1976.96392	0.69615	1.23485	1.94837	1.01853	4.01616	0.77484	3.23131	5.42897	2.33861	0.24162
1975.03517	0.69438	1.23347	1.9393	1.01446	3.99805	0.77202	3.21974	5.41295	2.33149	0.24176
1973.10643	0.69255	1.23057	1.93187	1.0119	3.98047	0.76844	3.20782	5.39568	2.32582	0.24015
1971.17768	0.69255	1.22947	1.92934	1.01224	3.97443	0.76687	3.20189	5.38801	2.32527	0.24044
1969.24894	0.69515	1.23278	1.93088	1.01493	3.98294	0.76952	3.2035	5.39592	2.32671	0.24022
1967.32019	0.69948	1.24252	1.939	1.02064	4.00584	0.77477	3.21836	5.4286	2.33495	0.24026
1965.39145	0.70191	1.2498	1.94793	1.02498	4.02459	0.77616	3.23684	5.4617	2.34774	0.24228
1963.4627	0.70041	1.24464	1.94768	1.02319	4.02053	0.77203	3.2384	5.45582	2.34818	0.24323
1961.53395	0.70036	1.23566	1.94509	1.02118	4.01112	0.76914	3.23269	5.43525	2.34087	0.24292
